symbol,sector,total_buy_mb,total_sell_mb,total_turnover_mb,total_net_mb,trading_days
PTTEP,Energy,"50,684.61","35,253.21","85,937.79","15,431.41",30
BBL,Banking,"15,402.80","13,526.68","28,929.48","1,876.10",30
SCC,Conmat,"13,682.63","11,952.27","25,634.90","1,730.36",30
PTTGC,Petro,"12,920.28","11,424.55","24,344.86","1,495.76",30
PTT,Energy,"43,753.05","42,813.30","86,566.32",939.73,30
KKP,Banking,"4,758.53","3,951.51","8,710.03",806.95,30
KBANK,Banking,"30,933.61","30,409.62","61,343.26",523.99,30
BANPU,Energy,"5,220.70","5,084.54","10,305.26",136.15,30
CENTEL,Tourism,"1,918.81","1,841.96","3,760.78",76.88,30
RATCH,Energy,"1,142.08","1,099.68","2,241.76",42.36,30
